,selected,transfers_balance,transfers_in,transfers_out,ict_index,value,label
0,76656,0,0,0,0.0,70,0
1,68335,-16828,995,17823,0.0,69,-1
2,59793,-11451,675,12126,0.0,69,0
3,56403,-5324,647,5971,0.0,68,-1
4,53689,-4224,616,4840,0.0,68,0
5,51023,-3184,276,3460,0.0,68,0
6,48026,-3147,57,3204,0.0,68,0
7,46467,-1691,38,1729,0.0,68,0
8,45182,-1364,14,1378,0.0,68,0
9,44753,-525,12,537,0.0,68,0
10,44303,-498,19,517,0.0,68,0
11,44061,-324,19,343,0.0,68,0
12,43855,-238,8,246,0.0,68,0
13,43696,-197,5,202,0.0,68,0
14,43434,-301,16,317,0.0,68,0
15,43310,-151,3,154,0.0,68,0
16,43178,-152,15,167,0.0,68,0
17,42915,-285,14,299,0.0,68,0
18,42856,-109,9,118,0.0,67,-1
19,42645,-237,3,240,0.0,67,0
20,42545,-103,0,103,0.0,67,0
21,42434,-109,0,109,0.0,67,0
22,42302,-134,0,134,0.0,67,0
23,42152,-142,0,142,0.0,67,0
24,42028,-132,0,132,0.0,67,0
0,69564,0,0,0,0.0,55,0
1,49797,-23455,1738,25193,0.0,55,0
2,61983,711,7407,6696,2.3,55,0
3,69592,1264,6180,4916,2.4,55,0
4,73952,-1132,5063,6195,3.7,55,0
5,79892,2396,6821,4425,1.3,55,0
6,72271,-8610,2305,10915,0.0,55,0
7,68445,-4860,1916,6776,0.0,55,0
8,71295,209,3796,3587,0.0,55,0
9,69062,-2987,1475,4462,2.0,55,0
10,63329,-5802,143,5945,0.0,55,0
11,60432,-3259,101,3360,0.0,55,0
12,58844,-1763,40,1803,0.5,55,0
13,59159,-84,855,939,4.3,54,-1
14,59418,-497,1037,1534,0.0,54,0
15,58025,-1474,164,1638,0.0,54,0
16,56695,-1414,73,1487,0.0,54,0
17,59279,407,1842,1435,1.6,54,0
18,58406,280,923,643,1.9,54,0
19,59961,675,1774,1099,0.4,54,0
20,60191,-150,900,1050,4.5,54,0
21,65560,4349,5240,891,0.0,54,0
22,59297,-6063,197,6260,0.0,54,0
23,60243,31,1353,1322,2.8,54,0
24,61292,380,1385,1005,0.0,54,0
0,2823465,0,0,0,10.6,120,0
1,3002806,-76570,146991,223561,7.9,120,0
2,2046859,-967555,50656,1018211,0.9,119,-1
3,2000213,-120167,106551,226718,4.4,119,0
4,1397443,-582811,29415,612226,4.1,118,-1
5,1193283,-235512,14819,250331,3.5,118,0
6,1011750,-191185,6334,197519,7.6,117,-1
7,1037701,7189,53375,46186,4.2,117,0
8,961065,-74110,43782,117892,5.9,117,0
9,850482,-107416,5512,112928,6.3,116,-1
10,742348,-108638,2646,111284,3.5,115,-1
11,703369,-47634,16755,64389,9.4,115,0
12,650088,-52013,4169,56182,7.7,115,0
13,635555,-16083,5217,21300,0.0,114,-1
14,569463,-64785,830,65615,0.0,114,0
15,566389,-5669,6786,12455,4.1,114,0
16,569293,1821,14647,12826,4.5,114,0
17,575850,-11762,13248,25010,5.0,113,-1
18,539555,-16905,1436,18341,12.2,113,0
19,548082,4886,36694,31808,0.0,113,0
20,524991,-22681,1164,23845,0.0,113,0
21,517358,-8191,3402,11593,2.1,113,0
22,526229,7644,14141,6497,1.1,113,0
23,515502,-11009,3811,14820,22.7,113,0
24,540800,22988,30474,7486,0.7,113,0
0,35774,0,0,0,0.0,50,0
1,27448,-11854,901,12755,0.0,49,-1
2,20173,-8218,449,8667,0.0,49,0
3,16771,-3849,218,4067,0.0,48,-1
4,16059,-1444,518,1962,0.0,48,0
5,15289,-1068,280,1348,0.0,48,0
6,14693,-822,212,1034,0.0,47,-1
7,14173,-687,234,921,0.0,47,0
8,13664,-725,173,898,0.0,47,0
9,13434,-368,153,521,0.0,47,0
10,13132,-426,133,559,0.0,47,0
11,12964,-302,122,424,0.0,46,-1
12,12905,-155,152,307,0.0,46,0
13,12764,-192,101,293,0.0,46,0
14,12539,-335,112,447,0.0,46,0
15,12503,-122,90,212,0.0,46,0
16,12433,-148,95,243,0.0,46,0
17,12671,-101,290,391,0.0,46,0
18,12414,-126,102,228,6.4,46,0
